0.50093,0.21375,0.13151,0.14767,-0.044135,0.98334,0.09638
0.50088,0.21391,0.1317,0.14784,-0.044514,0.9832,0.097328
0.50075,0.21398,0.13189,0.14824,-0.044582,0.98308,0.097887
0.50065,0.21417,0.13208,0.14852,-0.04496,0.98292,0.098932
0.50051,0.21441,0.13216,0.14847,-0.045349,0.98279,0.10016
0.50032,0.21455,0.13212,0.14829,-0.045373,0.98274,0.10091
0.50015,0.21481,0.1321,0.14798,-0.045622,0.98264,0.10215
0.49994,0.21498,0.132,0.14769,-0.045494,0.98261,0.10294
0.49974,0.21527,0.13192,0.14726,-0.045589,0.98253,0.10424
0.49952,0.21563,0.13178,0.14665,-0.045556,0.98247,0.10572
0.49925,0.21588,0.13155,0.146,-0.045118,0.98248,0.10669
0.499,0.21625,0.13133,0.14518,-0.044949,0.98245,0.10811
0.4987,0.21652,0.13104,0.14435,-0.044438,0.98249,0.10908
0.49842,0.21691,0.13079,0.14347,-0.044245,0.98247,0.1105
0.4981,0.21734,0.1305,0.14251,-0.044008,0.98245,0.11204
0.49772,0.21767,0.13015,0.14158,-0.04343,0.98249,0.11304
0.49736,0.21813,0.12985,0.14061,-0.043205,0.98247,0.11452
0.49694,0.21848,0.12951,0.13968,-0.042643,0.98251,0.11553
0.49653,0.21891,0.1292,0.13872,-0.042333,0.9825,0.11683
0.4961,0.21942,0.12883,0.13758,-0.042041,0.9825,0.11831
0.4956,0.21996,0.12853,0.13659,-0.041707,0.98246,0.11986
0.49512,0.22053,0.12818,0.13541,-0.041235,0.98246,0.12141
0.49456,0.2211,0.1279,0.13449,-0.040761,0.98241,0.12295
0.49401,0.22166,0.12759,0.13351,-0.040255,0.98239,0.12438
0.49335,0.22227,0.12727,0.13243,-0.039655,0.98236,0.1259
0.49259,0.2229,0.12703,0.13152,-0.039008,0.98231,0.12743
0.49185,0.22353,0.12671,0.13031,-0.038184,0.98232,0.12891
0.491,0.22417,0.12647,0.12934,-0.037319,0.98228,0.13038
0.49013,0.22478,0.12616,0.12808,-0.036241,0.98231,0.13174
0.48908,0.22541,0.1259,0.12688,-0.034801,0.98233,0.13311
0.48791,0.22605,0.1251,0.12373,-0.033484,0.98257,0.13462
0.4868,0.2266,0.1248,0.12235,-0.032007,0.98264,0.13574
0.48556,0.22694,0.12386,0.11828,-0.030578,0.98305,0.1367
0.48435,0.22741,0.12369,0.11725,-0.029119,0.98309,0.13765
0.48292,0.22788,0.12367,0.11666,-0.027746,0.98307,0.13856
0.48128,0.22841,0.12326,0.11472,-0.027008,0.98316,0.13966
0.4797,0.2288,0.12332,0.11428,-0.026095,0.98313,0.14038
